,track_name,artist_name,track_id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
39,Change (In the House of Flies),Deftones,51c94ac31swyDQj9B3Lzs3,0.269,0.853,-4.647,0.0854,0.000249,0.000246,0.118,0.179,141.581,4
40,Stellar,Incubus,6ISuXA3UCPMtsyEUGUTAyn,0.582,0.765,-6.544,0.0376,0.00106,0.0506,0.344,0.528,128.164,4
41,Wonderful,Everclear,0WHOPmOuQKuu05k4g3UTvk,0.514,0.817,-6.489,0.05,0.0118,8.25e-06,0.346,0.734,186.765,4
42,Judith,A Perfect Circle,5KDNFlHAdDJ84fhK27c35X,0.366,0.894,-4.682,0.0568,3.45e-05,0.17,0.267,0.304,82.305,3
43,Optimistic,Radiohead,1FoUsSi9BCTlNt2Vd7V8XA,0.402,0.757,-9.931,0.0371,0.0496,0.846,0.305,0.573,157.96,4
44,What If,Creed,22bX2FwXSvG49G0bPWm5nc,0.433,0.895,-5.548,0.0587,0.000127,1.7e-05,0.358,0.246,149.896,4
45,Weapon & The Wound,Days Of The New,3aK2kWz8YJZKzfNr4VJnE5,0.611,0.637,-6.479,0.0262,0.109,0.0013,0.111,0.369,132.211,4
46,Shape of My Heart,Backstreet Boys,35o9a4iAfLl5jRmqMX9c1D,0.575,0.786,-4.353,0.0296,0.252,0,0.159,0.518,96.102,4
47,Serious JuJu,Sammy Hagar,6iqqG1budDq1s8FRB9ylFe,0.528,0.835,-6.263,0.04,0.0232,0.0839,0.189,0.258,106.002,4
48,Right Now,SR-71,3iwsyTZzOWHZbHffBEyi1N,0.524,0.967,-3.322,0.0392,0.000289,7.41e-06,0.324,0.731,116.273,4
49,Nothing As It Seems,Pearl Jam,1pNSYQkmeFSqsSOGwwxs5L,0.241,0.508,-9.791,0.0275,0.0362,0.599,0.167,0.0445,140.627,4
50,Ex-Girlfriend,No Doubt,5ECMRJbRlj0FZRg9cRg94m,0.546,0.907,-4.117,0.09,0.0135,0.00232,0.169,0.654,173.178,4
51,Into The Void,Nine Inch Nails,55Ilqi0tkzElAOqDPixuDU,0.712,0.796,-5.926,0.0435,0.145,0.0475,0.076,0.361,93.046,4
52,Adam's Song,Blink-182,6xpDh0dXrkVp0Po1qrHUd8,0.52,0.775,-5.803,0.0348,0.034,0,0.364,0.382,136.028,4
53,The Great Beyond,R.E.M.,7w57O4o0xCTn9YpKuaPZDd,0.329,0.747,-6.411,0.0297,0.125,2.08e-06,0.197,0.177,109.702,4
54,So Sad To Say,The Mighty Mighty Bosstones,6aSvrNcJuoKOA9uwMXZI1D,0.455,0.919,-2.707,0.0486,0.00112,0.000128,0.148,0.759,181.088,4
55,Voices,Disturbed,47H4oc7Zkihwae7ST7F4zp,0.589,0.983,-2.521,0.121,0.000116,0.00211,0.0628,0.469,110.007,4
56,Rise,Gabrielle,6wpfoKaI2qTMWoduhrMspf,0.555,0.48,-9.524,0.0256,0.314,1.28e-05,0.094,0.621,144.654,4
57,Simple Kind Of Life,No Doubt,3CY7wjLc1CaAIrp9buEWhG,0.576,0.849,-5.199,0.0355,0.0678,0,0.278,0.482,119.999,4
58,When It All Goes Wrong Again,Everclear,3HBaF3RNVlpO16QupGGRBZ,0.265,0.97,-4.841,0.123,5.88e-05,0.00227,0.294,0.272,197.937,4
59,Man Overboard,Blink-182,1PRknVhZ6BsVX61MPrrVsV,0.218,0.921,-4.414,0.0602,0.00133,7.66e-06,0.0777,0.612,196.291,4
60,Silver Future,Monster Magnet,7kv2c8CpQ3SPwaISPimmBa,0.574,0.829,-5.677,0.0385,0.000699,0.142,0.21,0.479,99.878,4
61,Breathless,The Corrs,5OQGeJ1ceykovrykZsGhqL,0.607,0.82,-7.754,0.0597,0.0541,6.8e-05,0.269,0.768,126.988,4
62,Make Me Bad,Korn,286ek1kspX7VFaheXFSvPk,0.531,0.793,-6.889,0.0496,0.000192,0.0241,0.229,0.417,110.003,4
63,Never Let You Go,Third Eye Blind,3kRfBrDqWnoSArV7erncZi,0.735,0.928,-6.115,0.0377,0.108,0.000398,0.0578,0.966,113.765,4
64,Take a Look Around,Limp Bizkit,2avKuMN2QXkaG9vvHa2JLt,0.425,0.852,-5.607,0.046,0.0175,0.306,0.0935,0.512,101.968,4
65,AM Radio,Everclear,03gsb1WnVQUuLqChBvzmoo,0.622,0.964,-4.314,0.0832,0.0636,1.03e-05,0.235,0.609,92.973,4
66,If You're Gone,matchbox twenty,2f5N826udWfjT9iomeaBJt,0.544,0.659,-7.191,0.0298,0.427,1.33e-06,0.126,0.361,109.933,4
67,Young Lust,Pink Floyd,3xGJuHvSxFJxxYlHj5BIoT,0.615,0.55,-13.858,0.0349,0.0546,0.19,0.747,0.549,95.488,4
68,Promise,Eve 6,5mqEL5pgnDCcWtTWpAofIV,0.62,0.85,-4.096,0.0327,0.00791,0,0.0769,0.715,107.982,4
69,It's My Life,Bon Jovi,0v1XpBHnsbkCn7iJ9Ucr1l,0.551,0.913,-4.063,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,4
70,Never Gonna Come Back Down,BT,5I3eSFsQL7mIZZssKTolon,0.533,0.956,-4.219,0.169,0.00113,0.000115,0.704,0.553,136.007,4
71,Warm Machine,Bush,4DuTm2YZSxck0LhQDUs8Qs,0.176,0.885,-3.279,0.0651,0.00102,0.000174,0.233,0.292,143.706,4
72,Babylon,David Gray,5jLqVCGlKNYrLqCA1Qy4FV,0.737,0.543,-10.403,0.0374,0.0598,0.01,0.103,0.256,112.016,4
73,Painted Perfect,One Way Ride,35mWGe9tTtfmmJF0ubpSas,0.391,0.845,-6.598,0.0356,0.000721,0.0263,0.0796,0.427,138.804,4
74,Flowing,311,3p6VOdsqF0GPnNFoBd0x88,0.533,0.952,-4.992,0.0436,0.003,0,0.251,0.195,125.98,4
75,Next Year,Foo Fighters,1WwWjG2FGbBK6IkBBTknao,0.415,0.865,-2.789,0.0379,0.00551,0.103,0.274,0.465,176.864,4
76,The Hollow,A Perfect Circle,4XDBEoD6QFnzDY5oMmNVXN,0.295,0.789,-5.559,0.0702,0.000166,0.0898,0.0986,0.515,104.135,4
77,Heaven & Hot Rods,Stone Temple Pilots,3MVgLX5TBsn1xQ8gtmXhyW,0.4,0.996,-4.452,0.0882,0.00127,0,0.409,0.0612,131.056,4
78,Teenage Dirtbag,Wheatus,3LI4MmibTkXH5cGpCGZgyw,0.617,0.84,-4.063,0.0512,0.36,8.85e-05,0.179,0.57,94.676,4
79,I Turn to You,Melanie C,1Le4SDanBrX8OtmnnyTNrh,0.522,0.803,-5.825,0.0327,0.00117,0.00167,0.31,0.0783,135.205,4
80,Karma,Diffuser,0XDFGM6Zm304LgeFkWv5nJ,0.374,0.763,-6.005,0.0375,3.37e-05,0.0256,0.0914,0.621,93.807,4
81,Light Years,Pearl Jam,1Tnixg8lMEydzmBsZzxQpR,0.388,0.726,-6.911,0.0341,0.0447,0.113,0.213,0.746,205.07,4
82,Letting the Cables Sleep,Bush,4mn3mydzkoVgDOiSqNOEG1,0.326,0.306,-14.549,0.0347,0.749,0.109,0.0882,0.217,204.047,4
83,Are You Ready?,Creed,2DZuw7l7616rrJmI7GMRjA,0.433,0.881,-5.635,0.0417,2.51e-05,0.00377,0.0921,0.382,144.85,4
84,Nobody's Real,Powerman 5000,2VGf3YQ6Zfzb6YyDatYAcY,0.697,0.819,-3.407,0.0762,0.0278,1.04e-05,0.0198,0.698,119.959,4
85,Step into the Light,Dust for Life,49oEfdO5AGInIfXoyud5eo,0.489,0.899,-4.56,0.035,7.22e-05,0.000351,0.324,0.511,141.915,4
86,On The Roof Again,Eve 6,2L50S184moxNmEiJe00zzP,0.603,0.915,-4.866,0.0486,0.000732,0,0.363,0.796,124.129,4
